poll_id,question_id,race_id,year,race,location,type_simple,type_detail,pollster,pollster_rating_id,methodology,partisan,polldate,samplesize,cand1_name,cand1_id,cand1_party,cand1_pct,cand2_name,cand2_id,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,bias,rightcall,comment
26013,87909,1455,1998,1998_Gov-G_NY,NY,Gov-G,Gov-G,Blum & Weprin Associates,32,Live Phone,,10/13/98,364,Peter Vallone,13080,DEM,26,George Pataki,13083,REP,57,9,-31,11/3/98,33.16,54.32,-21.15,-9.85,1,for New York Daily News | WABC-TV (New York)
26255,87926,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,University of Cincinnati (Ohio Poll),346,Live Phone,,10/13/98,540,Lee Fisher,13085,DEM,37,Bob Taft,13086,REP,52,,-15,11/3/98,44.69,50.05,-5.36,-9.64,1,
26026,31266,1736,1998,1998_Sen-G_NV,NV,Sen-G,Sen-G,FM3 Research,91,Live Phone,D,10/13/98,488,Harry Reid,3964,DEM,49,John Ensign,3965,REP,44,,5,11/3/98,47.86,47.77,0.09,4.91,1,for unspecified Democratic sponsor
26013,31253,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Blum & Weprin Associates,32,Live Phone,,10/13/98,364,Charles E. Schumer,3966,DEM,44,Alfonse M. D'Amato,3967,REP,52,,-8,11/3/98,54.62,44.08,10.54,-18.54,0,for New York Daily News | WABC-TV (New York)
63632,117103,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Garin-Hart-Yang Research Group,113,Live Phone,D,10/13/98,902,Charles E. Schumer,3966,DEM,46,Alfonse M. D'Amato,3967,REP,42,,4,11/3/98,54.62,44.08,10.54,-6.54,1,for Charles E. Schumer
26255,31495,1741,1998,1998_Sen-G_OH,OH,Sen-G,Sen-G,University of Cincinnati (Ohio Poll),346,Live Phone,,10/13/98,540,Mary Boyle,3969,DEM,34,George V. Voinovich,3968,REP,62,,-28,11/3/98,43.53,56.46,-12.93,-15.07,1,
64053,117875,1966,1998,1998_House-G_ID-1,ID-1,House-G,House-G,Garin-Hart-Yang Research Group,113,Live Phone,D,10/13/98,372,Dan Williams,13924,DEM,44,Helen Chenoweth,13925,REP,42,,2,11/3/98,44.73,55.27,-10.53,12.53,0,for Richard Stallings
64053,117876,1967,1998,1998_House-G_ID-2,ID-2,House-G,House-G,Garin-Hart-Yang Research Group,113,Live Phone,D,10/13/98,400,Richard Stallings,13926,DEM,42,Mike Simpson,13927,REP,36,,6,11/3/98,44.69,52.51,-7.82,13.82,0,for Richard Stallings
28268,33546,8661,1998,1998_House-G_US,US,House-G,House-G,CBS News/The New York Times,36,Live Phone,,10/13/98,600,Generic Candidate,13752,DEM,48,Generic Candidate,13753,REP,46,,2,11/3/98,47.13,48.02,-0.89,2.89,0,sample size unavailable; estimated at 600 as a default
28267,33545,8661,1998,1998_House-G_US,US,House-G,House-G,Zogby Interactive/JZ Analytics,395,Live Phone,,10/13/98,864,Generic Candidate,13752,DEM,39,Generic Candidate,13753,REP,36,,3,11/3/98,47.13,48.02,-0.89,3.89,0,
54202,87738,1435,1998,1998_Gov-G_AZ,AZ,Gov-G,Gov-G,Behavior Research Center (Rocky Mountain Poll),27,Live Phone,,10/14/98,519,Paul Johnson,13009,DEM,31,Jane Hull,13012,REP,53,,-22,11/3/98,35.53,60.95,-25.42,3.42,1,
54291,87827,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,WCIA-TV,373,Live Phone,,10/14/98,401,Glenn Poshard,13043,DEM,32,George Ryan,13044,REP,58,,-26,11/3/98,47.46,51.03,-3.57,-22.43,1,
54273,87809,1444,1998,1998_Gov-G_IA,IA,Gov-G,Gov-G,"Drake Research & Strategy, Inc.",329,Live Phone,D,10/14/98,408,Tom Vilsack,13039,DEM,40,Jim Lightfoot,13036,REP,48,,-8,11/3/98,52.3,46.51,5.8,-13.8,0,for Tom Vilsack
54346,87882,1451,1998,1998_Gov-G_NE,NE,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/14/98,828,Bill Hoppner,13067,DEM,34,Mike Johanns,13066,REP,54,,-20,11/3/98,45.98,53.9,-7.93,-12.07,1,
26233,87975,1466,1998,1998_Gov-G_WI,WI,Gov-G,Gov-G,St. Norbert College,313,Live Phone,,10/14/98,415,Ed Garvey,13127,DEM,28,Tommy Thompson,13128,REP,63,,-35,11/3/98,38.7,59.66,-20.97,-14.03,1,
54202,119959,1719,1998,1998_Sen-G_AZ,AZ,Sen-G,Sen-G,Behavior Research Center (Rocky Mountain Poll),27,Live Phone,,10/14/98,519,Edward Ranger,13708,DEM,18,John McCain,13709,REP,60,,-42,11/3/98,27.16,68.74,-41.58,-0.42,1,
54291,117514,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,WCIA-TV,373,Live Phone,,10/14/98,401,Carol Moseley-Braun,3943,DEM,37,Peter G. Fitzgerald,3944,REP,54,,-17,11/3/98,47.44,50.35,-2.9,-14.1,1,
26233,31473,1750,1998,1998_Sen-G_WI,WI,Sen-G,Sen-G,St. Norbert College,313,Live Phone,,10/14/98,415,Russ Feingold,3986,DEM,47,Mark W. Neumann,3987,REP,40,,7,11/3/98,50.55,48.4,2.15,4.85,1,
64150,118025,2078,1998,1998_House-G_MT-1,MT-1,House-G,House-G,Moore Information,217,Live Phone,R,10/14/98,400,Dusty Deschamps,14012,DEM,36,Richard A. Hill,14013,REP,51,,-15,11/3/98,44.36,53.01,-8.65,-6.35,1,for Richard A. Hill
26285,87910,1455,1998,1998_Gov-G_NY,NY,Gov-G,Gov-G,Zogby Interactive/JZ Analytics,395,Live Phone,,10/15/98,706,Peter Vallone,13080,DEM,21,George Pataki,13083,REP,53,7,-32,11/3/98,33.16,54.32,-21.15,-10.85,1,
26262,87974,1466,1998,1998_Gov-G_WI,WI,Gov-G,Gov-G,University of Wisconsin-Milwaukee,366,Live Phone,,10/15/98,269,Ed Garvey,13127,DEM,35,Tommy Thompson,13128,REP,59,,-24,11/3/98,38.7,59.66,-20.97,-3.03,1,
